Абразивный инструмент ,Корщетки ,Круг торцовый Power-Wheel (Clean & Strip),22.50,1 шт.,"Специальный из нетканого материала с SiC зерном для очистки поверхностей и удаления следов ""побежалости"". Не засоряется за счет открытого строения круги. Безопасен в сравнении с корд щетками.",http://st5.stpulscen.ru/images/product/057/446/263_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный 6А2 150х10х4х32 ГОСТ 16170-81,72.89,1 шт.,"Количество карат в круге - 77
ГОСТ 16170-91 Круги алмазные шлифовальные плоские с выточкой формы 6A2",http://st21.stpulscen.ru/images/product/091/408/680_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный 6А2 150х20х4х32 ГОСТ 16171-91,108.51,1 шт.,"Количество карат в круге - 144
ГОСТ 16170-91 Круги алмазные шлифовальные плоские с выточкой формы 6A2",http://st21.stpulscen.ru/images/product/091/408/683_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный 9А3 150х10х3х32 ГОСТ 16171-91,123.66,1 шт.,Количество карат в круге - 116. Круги алмазные шлифовальные плоские с двухсторонней выточкой формы 9А3,http://st21.stpulscen.ru/images/product/091/408/685_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный 9А3 150х20х3х32 ГОСТ 16171-91,215.39,1 шт.,Количество карат в круге - 216. Круги алмазные шлифовальные плоские с двухсторонней выточкой формы 9А3,http://st21.stpulscen.ru/images/product/091/408/686_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный тарельчатый 12А2 20° 100х6х2х20 ГОСТ 16175-81,32.51,1 шт.,"Количество карат в круге - 15,6",http://st21.stpulscen.ru/images/product/091/408/566_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный тарельчатый 12А2 20° 125х10х2х32 ГОСТ 16175-84,42.59,1 шт.,Количество карат в круге - 32,http://st21.stpulscen.ru/images/product/091/408/587_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный тарельчатый 12А2 20° 125х3х2х20 ГОСТ 16175-82,32.02,1 шт.,"Количество карат в круге - 10,1",http://st21.stpulscen.ru/images/product/091/408/567_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный тарельчатый 12А2 20° 125х6х2х32 ГОСТ 16175-83,37.67,1 шт.,"Количество карат в круге - 19,7",http://st21.stpulscen.ru/images/product/091/408/580_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный тарельчатый 12А2 20° 150х10х2х32 ГОСТ 16175-86,48.89,1 шт.,Количество карат в круге - 39,http://st21.stpulscen.ru/images/product/091/408/598_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный тарельчатый 12А2 20° 150х6х2х32 ГОСТ 16175-85,40.13,1 шт.,"Количество карат в круге - 23,8",http://st21.stpulscen.ru/images/product/091/408/590_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 100х10х3х20 ГОСТ 16172-82,53.81,1 шт.,Количество карат в круге - 37,http://st21.stpulscen.ru/images/product/091/408/611_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 100х6х3х20 ГОСТ 16172-81,48.97,1 шт.,"Количество карат в круге - 23,4",http://st21.stpulscen.ru/images/product/091/408/603_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 125х10х3х32 ГОСТ 16172-84,52.82,1 шт.,Количество карат в круге - 48,http://st21.stpulscen.ru/images/product/091/408/621_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 125х10х5х32 ГОСТ 16172-85,72.07,1 шт.,Количество карат в круге - 79,http://st21.stpulscen.ru/images/product/091/408/620_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 125х6х3х32 ГОСТ 16172-83,48.97,1 шт.,"Количество карат в круге - 29,6",http://st21.stpulscen.ru/images/product/091/408/614_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 150х10х3х32 ГОСТ 16172-87,62.24,1 шт.,Количество карат в круге - 58,http://st21.stpulscen.ru/images/product/091/408/628_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 150х10х5х32 ГОСТ 16172-88,87.63,1 шт.,Количество карат в круге - 97,http://st21.stpulscen.ru/images/product/091/408/635_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 150х20х3х32 ГОСТ 16172-89,87.63,1 шт.,Количество карат в круге - 108,http://st21.stpulscen.ru/images/product/091/408/634_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 150х20х5х32 ГОСТ 16172-90,132.67,1 шт.,Количество карат в круге - 180,http://st21.stpulscen.ru/images/product/091/408/646_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 150х5х3х32 ГОСТ 16172-86,48.32,1 шт.,Количество карат в круге - 30,http://st21.stpulscen.ru/images/product/091/408/627_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 200х10х3х51 ГОСТ 16172-91,102.37,1 шт.,Количество карат в круге - 79,http://st21.stpulscen.ru/images/product/091/408/644_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 200х20х3х51 ГОСТ 16172-92,153.96,1 шт.,Количество карат в круге - 149,http://st21.stpulscen.ru/images/product/091/408/654_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 200х20х5х51 ГОСТ 16172-93,259.20,1 шт.,Количество карат в круге - 249,http://st21.stpulscen.ru/images/product/091/408/661_medium.jpg, 
Алмазный инструмент ,Круг алмазный ,Круг алмазный чашечный 12А2 45° 75х6х3х16 ГОСТ 16172-80,48.97,1 шт.,"Количество карат в круге - 17,2",http://st21.stpulscen.ru/images/product/091/408/602_medium.jpg, 
Алмазный инструмент ,Стеклорез алмазный ,"Вставки алмазные для стеклорезов 0,03-0,05",30.63,1 шт.,Вставки алмазные для стеклорезов (с природным кристаллом) четыре перестановки режущего инструмента,http://st21.stpulscen.ru/images/product/091/408/952_medium.jpg, 
Алмазный инструмент ,Стеклорез алмазный ,"Вставки алмазные для стеклорезов 0,06-0,10",31.95,1 шт.,Вставки алмазные для стеклорезов (с природным кристаллом) четыре перестановки режущего инструмента,http://st21.stpulscen.ru/images/product/091/408/954_medium.jpg, 
Измерительный инструмент,Глубиномеры ,Глубиномер индикаторный ГИ-100 (СССР),100.70,1 шт.,"Глубиномер индикаторный ГИ-100 предназначен для измерения глубины пазов, отверстий и высоты уступов в диапазоне от 0 до 100 мм.
Глубиномер оснащен индикатором часового типа по ГОСТ 577-68.
Диапазон измерения глубиномера индикаторного обеспечивается набором сменных измерительных стержней, оснащенных твердым сплавом.",http://st24.stpulscen.ru/images/product/097/599/723_medium.jpg, 
Измерительный инструмент,Глубиномеры ,Глубиномер микрометрический типа ГМ-100 кл.2 (СССР),100.70,1 шт.,"Предназначены для измерения глубины пазов и высоты уступов. Диапазон измерений обеспечивается набором сменных стержней, оснащенных твердым сплавом",http://st24.stpulscen.ru/images/product/097/599/753_medium.jpg, 
Измерительный инструмент,Головки измерительные,Головка измерительная пружинная Микрокатор 05ИГПВ,186,1 шт.,"Головка предназначена для точных относительных измерений линейных размеров, а также отклонений от заданной геометрической формы и может быть использована в универсальных стойках типов CI и СII или в измерительных приспособлениях с присоединительным диаметром 28мм.",http://st24.stpulscen.ru/images/product/097/599/081_medium.jpg, 
Измерительный инструмент,Измерительные линейки,Линейка лекальная  ЛД-125,75,1 шт.,"Линейка лекальная  ЛД-125 (с 2-хсторонним скосом,ножевидной формы, СССР)",http://st24.stpulscen.ru/images/product/097/695/972_medium.jpg, 
Измерительный инструмент,"
Измерительные линейки",Линейка лекальная  ЛД-200,140,1 шт.,"Линейка лекальная  ЛД-200 (с 2-хсторонним скосом,ножевидной формы, СССР)",http://st24.stpulscen.ru/images/product/097/696/493_medium.jpg, 
Измерительный инструмент,Измерительные линейки,Линейка лекальная  ЛД-320,180,1 шт.,"Линейка лекальная  ЛД-320 (с 2-хсторонним скосом,ножевидной формы, СССР)",http://st24.stpulscen.ru/images/product/097/697/348_medium.jpg, 
Измерительный инструмент,Измерительные линейки,Линейка стальная ШП-400 ГОСТ 8026-75   ,250,1 шт.,"ШПХ-400

Предназначена для контроля плоскости столов, станков и т.п. изделий. Используюется для контроля при монтажных работах и сборке машин и агрегатов.",http://st24.stpulscen.ru/images/product/097/695/397_medium.jpg, 
Измерительный инструмент,Измерительные линейки,Линейка стальная ШП-630 ГОСТ 8026-75,450,1 шт.,"ШП-630

Предназначена для контроля плоскости столов, станков и т.п. изделий. Используюется для контроля при монтажных работах и сборке машин и агрегатов.",http://st24.stpulscen.ru/images/product/097/695/036_medium.jpg, 
Измерительный инструмент,Измерительные линейки,Линейка стальная ШПХ-630 ГОСТ 8026-75,500,1 шт.,"ШПХ-630 класс 1

Предназначена для контроля плоскости столов, станков и т.п. изделий. Используюется для контроля при монтажных работах и сборке машин и агрегатов.",http://st24.stpulscen.ru/images/product/097/694/989_medium.jpg, 
Измерительный инструмент,Калибры ,"Калибр для конусов инструментов КМ3, комплект - ВТУЛКА+КОНУС",196,1 шт.,"С помощью конической пробки или кольца контролируется внутренний или наружный конус обрабатываемой детали.

    Принцип проверки:

- при контроле наружноо конуса контролируемый диаметр обрабатываемой детали должен находиться в промежутке между обеими или быть точно подонан к одной или другой измеряемой поверхности торцевой части кольца;

- при контроле внутреннего конуса контролируемый диаметр обрабатываемой детали (торцевая часть полости) должен лежать между обеими рисками пробки.

Примечание: отклонения конусности при контроле с помощью калибра невозможно передать цифрой.

 

 

 ",http://st24.stpulscen.ru/images/product/097/604/660_medium.JPG, 
Измерительный инструмент,Меры длины ,"КМД. Набор угловых мер 36 штук, ЧИЗ",503,1 шт.,Меры плоского угла призматические набор 36 штук  Челябинский инструментальнй завод предназначены для использования в качестве:рабочих мер для регулирования и настройки угломерных приборов и непосредственного измерения углов промышленных изделийобразцовых мер для передачи размера единицы плоского угла от первичного эталона рабочим средствам измерения углов.,http://st24.stpulscen.ru/images/product/097/673/919_medium.jpg, 
Измерительный инструмент,Меры длины ,КМД. Набор угловых мер №1 из 94 штук          ,3022,1 шт.,Меры плоского угла призматические N1-1 (93шт) предназначены для использования в качестве:рабочих мер для регулирования и настройки угломерных приборов и непосредственного измерения углов промышленных изделийобразцовых мер для передачи размера единицы плоского угла от первичного эталона рабочим средствам измерения углов.,http://st24.stpulscen.ru/images/product/097/673/992_medium.jpg, 
Измерительный инструмент,Меры длины ,КМД. Набор угловых мер №4,780,1 шт.,Меры плоского угла призматические N4-1 предназначены для использования в качестве:рабочих мер для регулирования и настройки угломерных приборов и непосредственного измерения углов промышленных изделийобразцовых мер для передачи размера единицы плоского угла от первичного эталона рабочим средствам измерения углов.,http://st24.stpulscen.ru/images/product/097/673/814_medium.jpg, 
Измерительный инструмент,Меры длины ,"КМД. Набор угловых мер №4, поштучно",75,1 шт.,"Поштучная реализация из набора ЧИЗ

Меры плоского угла призматические N4-1 предназначены для использования в качестве:рабочих мер для регулирования и настройки угломерных приборов и непосредственного измерения углов промышленных изделийобразцовых мер для передачи размера единицы плоского угла от первичного эталона рабочим средствам измерения углов.",http://st24.stpulscen.ru/images/product/097/673/843_medium.jpg, 
Измерительный инструмент,Меры длины ,Концевые меры длины (стальные) КМД №1 кл.2,310,1 шт.,"Меры длины концевые плоскопараллельные (наборы КМД) предназначены для использования в качестве:

- рабочих мер для регулировки и настройки показывающих измерительных приборов и для непосредственного измерения линейных размеров промышленных изделий;
- образцовых мер для передачи размера единицы длины от первичного этапа концевым мерам меньшей точности и для поверки и градуировки измерительных приборов.
Концевые меры длины изготовливаются из стали и твердого сплава, поставляются в специальных футлярах в виде наборов.",http://st24.stpulscen.ru/images/product/097/605/058_medium.jpg, 
Измерительный инструмент,Меры длины ,Концевые меры длины (стальные) КМД №10 кл.1,1 813.15,1 шт.,"Меры длины концевые плоскопараллельные (наборы КМД) предназначены для использования в качестве:

- рабочих мер для регулировки и настройки показывающих измерительных приборов и для непосредственного измерения линейных размеров промышленных изделий;
- образцовых мер для передачи размера единицы длины от первичного этапа концевым мерам меньшей точности и для поверки и градуировки измерительных приборов.
Концевые меры длины изготовливаются из стали и твердого сплава, поставляются в специальных футлярах в виде наборов.",http://st24.stpulscen.ru/images/product/097/605/337_medium.jpg, 
Измерительный инструмент,Меры длины ,Концевые меры длины (стальные) КМД №21 кл.1,380,1 шт.,"Меры длины концевые плоскопараллельные (наборы КМД) предназначены для использования в качестве:

- рабочих мер для регулировки и настройки показывающих измерительных приборов и для непосредственного измерения линейных размеров промышленных изделий;
- образцовых мер для передачи размера единицы длины от первичного этапа концевым мерам меньшей точности и для поверки и градуировки измерительных приборов.
Концевые меры длины изготовливаются из стали и твердого сплава, поставляются в специальных футлярах в виде наборов.",http://st24.stpulscen.ru/images/product/097/605/493_medium.jpg, 
Измерительный инструмент,Меры длины ,Концевые меры длины (стальные) КМД №21 кл.2,201.50,1 шт.,"Меры длины концевые плоскопараллельные (наборы КМД) предназначены для использования в качестве:

- рабочих мер для регулировки и настройки показывающих измерительных приборов и для непосредственного измерения линейных размеров промышленных изделий;
- образцовых мер для передачи размера единицы длины от первичного этапа концевым мерам меньшей точности и для поверки и градуировки измерительных приборов.
Концевые меры длины изготовливаются из стали и твердого сплава, поставляются в специальных футлярах в виде наборов.",http://st24.stpulscen.ru/images/product/097/605/532_medium.jpg, 
Измерительный инструмент,Меры длины ,Концевые меры длины (стальные) КМД №3 кл.1       ,1050,1 шт.,"Меры длины концевые плоскопараллельные (наборы КМД) предназначены для использования в качестве:

- рабочих мер для регулировки и настройки показывающих измерительных приборов и для непосредственного измерения линейных размеров промышленных изделий;
- образцовых мер для передачи размера единицы длины от первичного этапа концевым мерам меньшей точности и для поверки и градуировки измерительных приборов.
Концевые меры длины изготовливаются из стали и твердого сплава, поставляются в специальных футлярах в виде наборов.",http://st24.stpulscen.ru/images/product/097/605/170_medium.jpg, 
Измерительный инструмент,Меры длины ,Концевые меры длины (стальные) КМД №3 кл.2       ,449.50,1 шт.,"Меры длины концевые плоскопараллельные (наборы КМД) предназначены для использования в качестве:

- рабочих мер для регулировки и настройки показывающих измерительных приборов и для непосредственного измерения линейных размеров промышленных изделий;
- образцовых мер для передачи размера единицы длины от первичного этапа концевым мерам меньшей точности и для поверки и градуировки измерительных приборов.
Концевые меры длины изготовливаются из стали и твердого сплава, поставляются в специальных футлярах в виде наборов.",http://st24.stpulscen.ru/images/product/097/605/274_medium.jpg, 
Измерительный инструмент,Меры длины ,Концевые меры длины (стальные) под заказ и поштучно, ,1 шт.,"Меры длины концевые плоскопараллельные (наборы КМД) предназначены для использования в качестве:

- рабочих мер для регулировки и настройки показывающих измерительных приборов и для непосредственного измерения линейных размеров промышленных изделий;
- образцовых мер для передачи размера единицы длины от первичного этапа концевым мерам меньшей точности и для поверки и градуировки измерительных приборов.
Концевые меры длины изготовливаются из стали и твердого сплава, поставляются в специальных футлярах в виде наборов.",http://st24.stpulscen.ru/images/product/097/606/095_medium.jpg, 
Измерительный инструмент,Меры длины ,Набор принадлежностей к КМД  ПК-1 ,785,1 шт.,Набор принадлежностей к КМД  ПК-1 ,http://st24.stpulscen.ru/images/product/097/686/020_medium.JPG, 
Измерительный инструмент,Микрометры ,Микрометр гладкий МК 100,80,1 шт.,"Микрометр гладкий МК 100 (2 кл., 75-100мм,СССР)",http://st24.stpulscen.ru/images/product/097/700/644_medium.jpg, 
Измерительный инструмент,Микрометры ,Микрометр гладкий МК 175,186,1 шт.,"Микрометр гладкий МК 175 (2 кл., 150-175мм, СССР)",http://st24.stpulscen.ru/images/product/097/700/617_medium.png, 
Измерительный инструмент,Микрометры ,Микрометр гладкий МК 200,220,1 шт.,"Микрометр гладкий МК 200 (2 кл., 175-200мм, СССР)",http://st24.stpulscen.ru/images/product/097/700/574_medium.png, 
Измерительный инструмент,Микрометры ,"Микрометр гладкий МК 25 (2 кл., 0-25мм, СССР) Б.У.",25,1 шт.,"Микрометр гладкий МК-25 - прибор для измерения наружных размеров изделий и деталей. Измерительные поверхности микрометра изготовлены из твердого сплава. Выпускается по ГОСТ 6507-90.

 

Бывший в употреблении",http://st24.stpulscen.ru/images/product/097/698/230_medium.jpg, 
Измерительный инструмент,Микрометры ,"Микрометр гладкий МК 25 (2 кл., 0-25мм, СССР) Б.У.",25,1 шт.,"Микрометр гладкий МК-25 - прибор для измерения наружных размеров изделий и деталей. Измерительные поверхности микрометра изготовлены из твердого сплава. Выпускается по ГОСТ 6507-90.

 

Бывший в употреблении",http://st24.stpulscen.ru/images/product/097/798/377_medium.jpg, 
Измерительный инструмент,Микрометры ,"Микрометр гладкий МК 25 (2 кл., 0-25мм, СССР) с поверкой",78,1 шт.,Микрометр гладкий МК-25 - прибор для измерения наружных размеров изделий и деталей. Измерительные поверхности микрометра изготовлены из твердого сплава. Выпускается по ГОСТ 6507-90.,http://st24.stpulscen.ru/images/product/097/697/940_medium.jpg, 
Измерительный инструмент,Микрометры ,Микрометр гладкий МК 50,80,1 шт.,"Микрометр гладкий МК-50 (2 кл., 25-50мм, СССР; мягкая упаковка)

 

 - прибор для измерения наружных размеров изделий и деталей. Измерительные поверхности микрометра изготовлены из твердого сплава. Выпускается по ГОСТ 6507-90.

 ",http://st24.stpulscen.ru/images/product/097/698/658_medium.jpg, 
Измерительный инструмент,Микрометры ,"Микрометр гладкий МК 50, Б.У.",30,1 шт.,"Микрометр гладкий МК-50 (2 кл., 25-50мм, СССР; мягкая упаковка)

Бывший в употреблении

 

 - прибор для измерения наружных размеров изделий и деталей. Измерительные поверхности микрометра изготовлены из твердого сплава. Выпускается по ГОСТ 6507-90.

 ",http://st24.stpulscen.ru/images/product/097/699/143_medium.jpg, 
Измерительный инструмент,Микрометры ,Микрометр гладкий МК 75,80,1 шт.,"Микрометр гладкий МК-75 (2 кл., 50-75мм, СССР; мягкая упаковка)

 

 - прибор для измерения наружных размеров изделий и деталей. Измерительные поверхности микрометра изготовлены из твердого сплава. Выпускается по ГОСТ 6507-90.

 ",http://st24.stpulscen.ru/images/product/097/699/233_medium.jpg, 
Измерительный инструмент,Микрометры ,Микрометр листовой МЛ 10,650,1 шт.,"Микрометр листовой МЛ 10 (СССР)

Микрометр МЛ соответствует ГОСТ 6507-90 и предназначен для точного измерения толщины листов и лент черных и цветных металлов.",http://st24.stpulscen.ru/images/product/097/703/013_medium.jpeg, 
Измерительный инструмент,Микрометры ,Микрометр резьбовой со вставками МВМ 25,110,1 шт.,Микрометр резьбовой со вставками МВМ 25 (СССР; ГОСТ 4380-63) ,http://st24.stpulscen.ru/images/product/097/702/854_medium.jpg, 
Измерительный инструмент,Микрометры ,Микрометр резьбовой со вставками МВМ 50 ,145,1 шт.,Микрометр резьбовой со вставками МВМ 50 (с накладками; СССР) ,http://st24.stpulscen.ru/images/product/097/702/863_medium.jpg, 
Измерительный инструмент,Микрометры ,Микрометр резьбовой со вставками МКВ 150,350,1 шт.,Микрометр резьбовой со вставками МКВ 150 (СССР),http://st24.stpulscen.ru/images/product/097/702/864_medium.jpg, 
Измерительный инструмент,Нутромеры ,"Нутромер индикаторный -  ЦАНГОВЫЙ - 3…3,75мм",300,1 шт.,"ГДР - произведено, 0.01 мм

Нутромер цанговый - это компаративный инструмент, предназначенный для измерения диаметра, круглости, конусности отверстий . Модульная конструкция позволяет использовать нутромеры для контроля как серийной продукции, так и для индивидуального контроля изделий в лабораториях, ОТК и непосредственно на производстве у станка.",http://st24.stpulscen.ru/images/product/097/795/793_medium.jpg, 
Измерительный инструмент,Нутромеры ,Нутромер индикаторный НИ-10 2 класс,186,1 шт.,"Произведено в СССР. С хранения. (6…10мм, СССР) - деревянная или пластмассовая коробка

ГОСТ  868-82.

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/795/914_medium.jpg, 
Измерительный инструмент,Нутромеры ,Нутромер индикаторный НИ-10 2 КРИН,290,1 шт.,"ГОСТ  868-82.

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/797/722_medium.jpg, 
Измерительный инструмент,Нутромеры ,Нутромер индикаторный НИ-10 2кл. КРИН,250,1 шт.,"ГОСТ  868-82.

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/797/559_medium.jpg, 
Измерительный инструмент,Нутромеры ,Нутромер индикаторный НИ-18 2 класс,186,1 шт.,"Произведено в СССР. С хранения. (10…18мм, СССР) - деревянная или пластмассовая коробка

ГОСТ  868-82.

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/795/938_medium.jpg, 
Измерительный инструмент,Нутромеры ,Нутромер индикаторный повышенной точности - 100…160 мм,620,1 шт.,"Произведено СССР ""Калибр"" С хранения. (0,002) - деревянная коробка

 

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st28.stpulscen.ru/images/product/105/331/921_medium.png, 
Измерительный инструмент,Нутромеры ,Нутромер индикаторный повышенной точности - 10…18 мм,563,1 шт.,"Произведено СССР ""Калибр"" С хранения. (0,002) - деревянная коробка

 

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/798/719_medium.jpg, 
Измерительный инструмент,Нутромеры ,Нутромер индикаторный повышенной точности - 160…260 мм. Потертый,920,1 шт.,"Произведено СССР ""Калибр"" С хранения. (0,002) - деревянная коробка

 

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/799/322_medium.jpg, 
Измерительный инструмент,Нутромеры ,"Нутромер индикаторный повышенной точности - 17,5…35 мм",603,1 шт.,"Произведено в ГДР С хранения. (0,002) - деревянная коробка

 

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/798/988_medium.jpg, 
Измерительный инструмент,Нутромеры ,Нутромер индикаторный повышенной точности - 50…100 мм,605,1 шт.,"Произведено СССР ""Калибр"" С хранения. (0,002) - деревянная коробка

 

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st28.stpulscen.ru/images/product/105/331/933_medium.png, 
Измерительный инструмент,Нутромеры ,"Нутромер индикаторный, цанговый. Повышенной точности - 4…9,5 мм",300,1 шт.,"Произведено в ГДР С хранения. (0,002) - деревянная коробка

 

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/797/775_medium.jpg, 
Измерительный инструмент,Нутромеры ,"Нутромер индикаторный, цанговый. Повышенной точности - 9,5…19,5 мм",370,1 шт.,"Произведено в ГДР С хранения. (0,002) - деревянная коробка

 

Нутромеры предназначены для точного определения внутренних линейных размеров деталей.",http://st24.stpulscen.ru/images/product/097/798/395_medium.jpg, 
Лабораторные приборы и оборудование,Лабораторные приборы ,Меры твёрдости (ЭТАЛОННЫЕ) образцовые МТВ-1, , ,"Реализуем: весь спектр металлорежущего, абразивного, измерительного, слесарного инструмента и оснастки.
Поставляем: Магнитные сверлильные станки ""Хайтек инструмент"" (Россия), ""Evolution"" (Англия), ""3Keego"" (Тайвань)
Фаскосниматели (кромкорезы) ""Хайтек инструмент"" (Россия)
Рельсосверлильные станки ""Хайтек инструмент"" (Россия)
Смазывающая охлаждающая жидкость (СОЖ): смазка, аэрозоль.
Магнитные грузозахваты ""Хайтек инструмент"" (Россия)
МНОГОЦЕЛЕВЫЕ ОТРЕЗНЫЕ ПИЛЫ Evolution

Металлорежущий инструмент: сверла ц/х и конический хвостовик HSS, сверла твердосплавные, метчики, плашки, фрезы концевые и шпоночные, борфрезы, развёртки, зенкера, зенковки, державки, полотна, пилы, сегменты, пластина твердосплавная - напайная и сменная, Оснастка станочная и вспомогательн. инструмент, эльборовый и алмазный инструмент. ТиЗ, ЧиЗ.

Абразивный инструмент: ленты бесконечные шлифовальные, круги лепестковые, диски самозацепные, круги войлочные и из нетканого материала (Clean&Strip, Scotch-Brite).
Абразивного инструмент Klingspor (kronenlex), 3M, Deerfos, Bosch и прочих.
Подложка графитовая: Антифрикционный материл
Круги и диски из Clean&Strip (Power-wheel): круги торцевые,диски,круги с оправкой
Ленты бесконечные: на бумажной основе узкие, на бумажной основе калибровальные, на тканевой основе узкие, на тканевой основе калибровальные, для ручного инструмента
для калибровки ДСП, из нетканого объёмного полотна.
Металлорежущий инструмент: свёрла ц/х средняя серия (ГОСТ 10902)
свёрла ц/х длинная серия (ГОСТ 886)
свёрла к/х средняя серия (10903)
свёрла к/х длинная серия (12121)
свёрла центровочные

диски опорные (подложки)
средства полировки 3М
нетканое абразивное полотно Sсotch-Brite
пасты полировальные: белая (окончательная), серая (предварительная), зеленая типа ГОИ (средняя)

Средства индивидуальной защиты 3М : респираторы,беруши, наушники, очки, полумаски, маски, фильтрa, предфильтрa, держатели, щитки сварщика, перчатки, рукавицы, краги.
Электроинструмент: угловые электрошлифмашины, полировальные машины, эксцентриковые машины.

Контактное лицо: Ярослав 8(029) 3059214

Мы стремимся предложить нашим партнерам качественный инструмент по приемлемым ценам.",http://st24.stpulscen.ru/images/product/097/697/885_medium.jpg, 
Пневмоинструмент ,Пневматические шлифовальные машины,Пневмошлифмашина эксцентриковая орбитальная Ф150 3M 28516,630.96,1 шт.,"Эксцентриковая (орбитальная) шлифмашина с вакуумным отсосом пыли, диаметр орбиты 5 мм, подушка 150 мм, частота 12000 об/мин, расход воздуха 480 л/мин, тип крепления 5/16, мощность 0,28л.с., масса 0,927 кг

Цена указана с НДС",http://st7.stpulscen.ru/images/product/063/010/199_medium.jpg, 
"Приборы контроля, регулирования и автоматики",Индикаторы ,Головка измерительная пружинная малогабаритная,120.90,1 шт.,"Малогабаритная измерительная пружинная головка предназначена для точных измерений длин и отклонений от геометрической формы. Прибор имеет пружинный механизм типа микрокатора.

МИКАТОР +-50мкм, 1-ИПМ

 ",http://st24.stpulscen.ru/images/product/097/599/399_medium.jpg, 
"Приборы контроля, регулирования и автоматики",Индикаторы ,Индикатор многооборотный ИГ-1 мод. 06101,263.50,1 шт.,"Модели 06101, 06102

Головки предназначены для линейных измерений методом непосредственной оценки или методом сравнения с мерой. Применяются как в измерительной стойке, так и в различных контрольных и измерительных приборах и приспособлениях с присоединительным диаметром 8 мм.

Оси механизма установлены в корундовых подшипниках. Кинематическое замыкание механизма обеспечивается моментной пружиной-волоском. Измерительный стержень выполнен из нержавеющей стали, имеет глубокое арретирование - его перемещение на 2 мм превышает пределы измерения по шкале.

Кинематическая цепь приборов состоит из двух неравноплечих рычажных и одной зубчатой пар.",http://st24.stpulscen.ru/images/product/097/603/867_medium.jpg, 
